date,station,pollutant,actual_value,expected_value,difference,percentage_difference,z_score,method,severity,is_anomaly
2026-05-20,Córdoba,PM10,47.1667,23.9583,23.2084,96.87,1.7399,IQR,Moderate,True
2026-04-25,Córdoba,CO,1.2192,0.5531,0.6661,120.4303,0.8683,IQR,Moderate,True
2026-04-23,La Boca,NO2,42.1739,19.3333,22.8406,118.1412,2.0782,Isolation Forest,Moderate,True
2026-04-16,La Boca,NO2,56.8571,19.3333,37.5238,194.089,3.5105,IQR + Isolation Forest,High,True
2026-04-15,La Boca,NO2,59.8333,19.3333,40.5,209.4831,3.8008,IQR + Isolation Forest,High,True
2026-03-28,La Boca,NO2,48.1667,19.3333,28.8334,149.1385,2.6628,IQR + Isolation Forest,High,True
2026-03-04,La Boca,PM10,67.3,25.0417,42.2583,168.7517,2.7529,IQR,Moderate,True
2026-03-04,Córdoba,PM10,49.9583,23.9583,26.0,108.5219,1.9699,IQR,Moderate,True
2026-02-12,La Boca,PM10,61.9583,25.0417,36.9166,147.4205,2.3791,IQR,Moderate,True
2026-02-12,Córdoba,PM10,49.7083,23.9583,25.75,107.4784,1.9493,IQR,Moderate,True
2026-02-11,La Boca,PM10,55.0,25.0417,29.9583,119.6337,1.8921,IQR,Moderate,True
2026-02-04,La Boca,PM10,60.75,25.0417,35.7083,142.5954,2.2945,IQR,Moderate,True
2026-02-04,Córdoba,PM10,50.125,23.9583,26.1667,109.2177,1.9837,IQR,Moderate,True
2026-01-31,Centenario,NO2,4.1667,17.4167,-13.25,-76.0764,-2.0267,Isolation Forest,Moderate,True
2026-01-03,Córdoba,PM10,49.25,23.9583,25.2917,105.5655,1.9116,IQR,Moderate,True
2026-01-01,Córdoba,PM10,49.5417,23.9583,25.5834,106.783,1.9356,IQR,Moderate,True
2025-12-28,Córdoba,PM10,48.0,23.9583,24.0417,100.3481,1.8086,IQR,Moderate,True
2025-11-20,Córdoba,PM10,79.0833,23.9583,55.125,230.0873,4.3696,IQR + Isolation Forest,Extreme,True
2025-11-20,Centenario,PM10,60.25,22.7848,37.4652,164.4313,2.6159,IQR + Isolation Forest,High,True
2025-11-20,La Boca,PM10,67.125,25.0417,42.0833,168.0529,2.7407,IQR,Moderate,True
2025-11-19,Córdoba,PM10,135.5833,23.9583,111.625,465.9137,9.0247,IQR + Isolation Forest,Extreme,True
2025-11-19,La Boca,PM10,116.4167,25.0417,91.375,364.8914,6.1903,IQR + Isolation Forest,Extreme,True
2025-11-19,Centenario,PM10,99.0,22.7848,76.2152,334.5011,5.5316,IQR + Isolation Forest,Extreme,True
2025-08-19,La Boca,NO2,48.2917,19.3333,28.9584,149.7851,2.675,IQR,Moderate,True
2025-08-11,La Boca,NO2,49.7917,19.3333,30.4584,157.5437,2.8213,IQR,Moderate,True
2025-07-12,Córdoba,PM10,53.125,23.9583,29.1667,121.7394,2.2308,IQR,Moderate,True
2025-07-11,Centenario,CO,1.1717,0.4821,0.6896,143.0409,0.7903,IQR,Moderate,True
2025-07-08,Córdoba,CO,1.4267,0.5531,0.8736,157.9461,1.1649,IQR,Moderate,True
2025-07-08,Centenario,CO,1.1896,0.4821,0.7075,146.7538,0.8131,IQR,Moderate,True
2025-07-08,Córdoba,PM10,53.7083,23.9583,29.75,124.1741,2.2789,IQR,Moderate,True
2025-07-08,Centenario,PM10,48.1667,22.7848,25.382,111.3989,1.7067,IQR,Moderate,True
2025-07-07,Córdoba,CO,1.3217,0.5531,0.7686,138.9622,1.0148,IQR,Moderate,True
2025-07-07,Centenario,CO,0.9988,0.4821,0.5167,107.1769,0.5701,IQR,Moderate,True
2025-07-05,Centenario,CO,1.0079,0.4821,0.5258,109.0645,0.5817,IQR,Moderate,True
2025-07-02,Centenario,CO,1.3742,0.4821,0.8921,185.0446,1.0483,IQR,Extreme,True
2025-07-02,La Boca,NO2,56.9167,19.3333,37.5834,194.3972,3.5163,IQR + Isolation Forest,High,True
2025-07-01,Centenario,CO,1.0212,0.4821,0.5391,111.8233,0.5986,IQR,Moderate,True
2025-06-27,La Boca,NO2,50.0,19.3333,30.6667,158.6211,2.8416,IQR,Moderate,True
2025-06-19,Córdoba,CO,1.9738,0.5531,1.4207,256.8613,1.9468,IQR,Extreme,True
2025-06-19,Centenario,CO,1.5217,0.4821,1.0396,215.6399,1.2361,IQR,Extreme,True
2025-06-19,La Boca,NO2,52.4167,19.3333,33.0834,171.1213,3.0774,IQR,High,True
2025-06-19,La Boca,PM10,60.8333,25.0417,35.7916,142.928,2.3003,IQR,Moderate,True
2025-06-18,Córdoba,CO,1.4258,0.5531,0.8727,157.7834,1.1636,IQR,Moderate,True
2025-06-08,La Boca,PM10,54.625,25.0417,29.5833,118.1361,1.8659,IQR,Moderate,True
2025-06-07,La Boca,NO2,48.7083,19.3333,29.375,151.9399,2.7156,IQR + Isolation Forest,High,True
2025-06-06,La Boca,NO2,48.7083,19.3333,29.375,151.9399,2.7156,IQR,Moderate,True
2025-04-29,Córdoba,CO,1.2446,0.5531,0.6915,125.0226,0.9046,IQR,Moderate,True
2025-04-24,La Boca,PM10,57.5833,25.0417,32.5416,129.9496,2.0729,IQR,Moderate,True
2025-04-24,Centenario,PM10,51.75,22.7848,28.9652,127.1256,1.9764,IQR,Moderate,True
2025-04-24,Córdoba,PM10,48.6364,23.9583,24.6781,103.0044,1.861,IQR,Moderate,True
2024-12-21,La Boca,PM10,54.3,25.0417,29.2583,116.8383,1.8431,IQR,Moderate,True
2024-12-21,Córdoba,PM10,48.5,23.9583,24.5417,102.4351,1.8498,IQR,Moderate,True
2024-11-27,La Boca,CO,0.91,0.31,0.6,193.5484,0.6834,IQR,Moderate,True
2024-11-12,Centenario,PM10,51.2941,22.7848,28.5094,125.1247,1.9421,IQR,Moderate,True
2024-11-01,La Boca,CO,1.1658,0.31,0.8558,276.0645,1.0169,IQR,Moderate,True
2024-10-31,La Boca,CO,1.366,0.31,1.056,340.6452,1.278,IQR,Extreme,True
2024-10-04,La Boca,CO,0.8846,0.31,0.5746,185.3548,0.6502,IQR,Moderate,True
2024-10-01,La Boca,CO,1.4683,0.31,1.1583,373.6452,1.4114,IQR,Extreme,True
2024-09-30,La Boca,NO2,48.6667,19.3333,29.3334,151.7247,2.7116,IQR + Isolation Forest,High,True
2024-09-18,La Boca,NO2,41.9583,19.3333,22.625,117.0261,2.0572,Isolation Forest,Moderate,True
2024-09-17,La Boca,NO2,55.6667,19.3333,36.3334,187.9317,3.3944,IQR + Isolation Forest,High,True
2024-09-16,La Boca,NO2,58.25,19.3333,38.9167,201.2936,3.6464,IQR + Isolation Forest,High,True
2024-09-15,La Boca,NO2,44.8333,19.3333,25.5,131.8968,2.3376,Isolation Forest,Moderate,True
2024-09-08,La Boca,NO2,42.4167,19.3333,23.0834,119.3971,2.1019,Isolation Forest,Moderate,True
2024-09-07,La Boca,NO2,53.2083,19.3333,33.875,175.2158,3.1546,IQR + Isolation Forest,High,True
2024-09-07,La Boca,CO,0.9846,0.31,0.6746,217.6129,0.7806,IQR,Moderate,True
2024-09-07,Córdoba,CO,1.3371,0.5531,0.784,141.7465,1.0368,IQR,Moderate,True
2024-09-07,Centenario,PM10,52.4583,22.7848,29.6736,130.2343,2.0297,IQR,Moderate,True
2024-09-07,Córdoba,PM10,50.125,23.9583,26.1667,109.2177,1.9837,IQR,Moderate,True
2024-09-06,La Boca,NO2,55.2083,19.3333,35.875,185.5607,3.3497,IQR,High,True
2024-08-16,La Boca,PM10,55.1667,25.0417,30.125,120.2993,1.9038,IQR,Moderate,True
2024-08-14,La Boca,NO2,51.0417,19.3333,31.7084,164.0092,2.9432,IQR,Moderate,True
2024-08-13,La Boca,NO2,49.1739,19.3333,29.8406,154.3482,2.761,IQR,Moderate,True
2024-08-06,Córdoba,CO,1.3046,0.5531,0.7515,135.8705,0.9903,IQR,Moderate,True
2024-08-03,Córdoba,PM10,47.75,23.9583,23.7917,99.3046,1.788,IQR,Moderate,True
2024-08-02,La Boca,NO2,49.5,19.3333,30.1667,156.0349,2.7929,IQR + Isolation Forest,High,True
2024-07-29,La Boca,NO2,42.3333,19.3333,23.0,118.9657,2.0938,Isolation Forest,Moderate,True
2024-07-28,La Boca,NO2,43.0,19.3333,23.6667,122.4142,2.1588,Isolation Forest,Moderate,True
2024-07-27,Córdoba,CO,1.3804,0.5531,0.8273,149.5751,1.0987,IQR,Moderate,True
2024-07-26,La Boca,NO2,47.5217,19.3333,28.1884,145.8023,2.5999,IQR + Isolation Forest,High,True
2024-07-26,La Boca,CO,0.9554,0.31,0.6454,208.1935,0.7426,IQR,Moderate,True
2024-07-26,Córdoba,CO,1.4638,0.5531,0.9107,164.6538,1.2179,IQR,Moderate,True
2024-07-26,Centenario,CO,1.0988,0.4821,0.6167,127.9195,0.6975,IQR,Moderate,True
2024-07-25,Centenario,PM10,54.125,22.7848,31.3402,137.5492,2.1551,IQR,Moderate,True
2024-07-25,La Boca,PM10,57.8333,25.0417,32.7916,130.948,2.0904,IQR,Moderate,True
2024-07-25,Córdoba,PM10,53.75,23.9583,29.7917,124.3481,2.2823,IQR,Moderate,True
2024-07-24,La Boca,CO,0.9025,0.31,0.5925,191.129,0.6736,IQR,Moderate,True
2024-07-18,La Boca,NO2,43.9583,19.3333,24.625,127.3709,2.2523,Isolation Forest,Moderate,True
2024-07-17,La Boca,NO2,48.9583,19.3333,29.625,153.233,2.74,IQR + Isolation Forest,High,True
2024-07-17,La Boca,CO,0.8804,0.31,0.5704,184.0,0.6448,IQR,Moderate,True
2024-07-15,La Boca,NO2,43.2083,19.3333,23.875,123.4916,2.1791,Isolation Forest,Moderate,True
2024-07-14,La Boca,CO,1.4896,0.31,1.1796,380.5161,1.4392,IQR,Extreme,True
2024-07-14,La Boca,NO2,49.25,19.3333,29.9167,154.7418,2.7685,IQR + Isolation Forest,High,True
2024-07-14,Centenario,PM10,56.875,22.7848,34.0902,149.6187,2.362,IQR + Isolation Forest,High,True
2024-07-14,La Boca,PM10,62.2917,25.0417,37.25,148.7519,2.4024,IQR,Moderate,True
2024-07-14,Córdoba,PM10,47.5833,23.9583,23.625,98.6088,1.7742,IQR,Moderate,True
2024-07-13,La Boca,CO,1.6167,0.31,1.3067,421.5161,1.6049,IQR,Extreme,True
