date,year,month,station,pollutant,daily_avg,daily_min,daily_max,daily_median,daily_std,records_count
2009-10-01,2009,10,Centenario,CO,0.5538,0.46,0.64,0.56,0.0691,8
2009-10-01,2009,10,Centenario,NO2,36.375,31.0,39.0,36.5,2.6152,8
2009-10-01,2009,10,Córdoba,NO2,33.0,31.0,35.0,33.0,1.3093,8
2009-10-01,2009,10,La Boca,CO,0.1486,0.11,0.16,0.16,0.0186,7
2009-10-01,2009,10,La Boca,NO2,29.0,24.0,33.0,30.0,3.0237,8
2009-10-01,2009,10,Palermo,CO,1.3862,1.16,1.54,1.435,0.1675,8
2009-10-02,2009,10,Centenario,CO,0.6722,0.64,0.7,0.68,0.0228,9
2009-10-02,2009,10,Centenario,NO2,33.5455,29.0,38.0,34.0,2.5045,11
2009-10-02,2009,10,Córdoba,NO2,30.3333,18.0,42.0,31.0,7.8779,12
2009-10-02,2009,10,La Boca,CO,0.4527,0.19,0.82,0.33,0.2592,11
2009-10-02,2009,10,La Boca,NO2,35.8333,30.0,46.0,34.5,5.5405,12
2009-10-02,2009,10,Palermo,CO,1.0917,0.88,1.31,1.09,0.1843,12
2009-10-04,2009,10,Centenario,CO,0.3225,0.21,0.51,0.27,0.1142,12
2009-10-04,2009,10,Centenario,NO2,23.8333,9.0,37.0,27.5,10.6671,12
2009-10-04,2009,10,Córdoba,NO2,19.5833,6.0,28.0,22.0,7.9023,12
2009-10-04,2009,10,La Boca,CO,0.1208,0.06,0.18,0.11,0.0444,12
2009-10-04,2009,10,La Boca,NO2,19.4167,11.0,28.0,20.5,5.5179,12
2009-10-04,2009,10,Palermo,CO,0.7875,0.49,1.08,0.76,0.2114,12
2009-10-05,2009,10,Centenario,CO,0.5667,0.29,0.76,0.6,0.1541,24
2009-10-05,2009,10,Centenario,NO2,29.25,14.0,77.0,22.0,15.6017,24
2009-10-05,2009,10,Córdoba,NO2,34.1667,11.0,48.0,37.0,11.2237,24
2009-10-05,2009,10,La Boca,CO,0.1417,0.08,0.21,0.145,0.0447,12
2009-10-05,2009,10,La Boca,NO2,26.125,11.0,43.0,28.0,9.3218,24
2009-10-05,2009,10,Palermo,CO,1.0408,0.71,1.33,1.08,0.2097,24
2009-10-06,2009,10,Centenario,CO,0.4029,0.19,0.73,0.4,0.13,24
2009-10-06,2009,10,Centenario,NO2,24.9583,8.0,37.0,26.5,7.4687,24
2009-10-06,2009,10,Córdoba,NO2,37.0833,17.0,62.0,37.5,10.2275,24
2009-10-06,2009,10,La Boca,NO2,16.2083,7.0,31.0,14.0,6.9594,24
2009-10-06,2009,10,Palermo,CO,0.5925,0.37,1.2,0.525,0.2291,24
2009-10-07,2009,10,Centenario,CO,0.4162,0.26,0.55,0.42,0.0819,24
2009-10-07,2009,10,Centenario,NO2,31.0417,19.0,41.0,31.5,6.8428,24
2009-10-07,2009,10,Córdoba,NO2,36.1579,25.0,52.0,33.0,7.6541,19
2009-10-07,2009,10,La Boca,NO2,22.25,10.0,35.0,24.5,8.184,24
2009-10-07,2009,10,Palermo,CO,0.4783,0.34,0.75,0.48,0.0967,24
2009-10-08,2009,10,Centenario,CO,0.5175,0.35,0.64,0.525,0.0916,24
2009-10-08,2009,10,Centenario,NO2,30.9583,23.0,45.0,29.0,6.2796,24
2009-10-08,2009,10,Córdoba,NO2,29.4583,17.0,44.0,29.5,5.8605,24
2009-10-08,2009,10,La Boca,NO2,26.75,17.0,35.0,27.5,4.5516,24
2009-10-08,2009,10,Palermo,CO,0.9338,0.71,1.18,0.86,0.174,24
2009-10-09,2009,10,Centenario,CO,0.3258,0.25,0.49,0.295,0.0826,12
2009-10-09,2009,10,Centenario,NO2,18.125,13.0,22.0,19.0,2.997,8
2009-10-09,2009,10,Córdoba,NO2,16.1667,13.0,20.0,16.0,1.9924,12
2009-10-09,2009,10,La Boca,NO2,15.6667,8.0,24.0,17.0,6.3006,12
2009-10-09,2009,10,Palermo,CO,0.7658,0.55,1.04,0.735,0.1847,12
2009-10-12,2009,10,Centenario,CO,0.3017,0.2,0.46,0.26,0.1049,12
2009-10-12,2009,10,Centenario,NO2,25.5833,14.0,42.0,25.0,8.857,12
2009-10-12,2009,10,Córdoba,NO2,20.8333,15.0,29.0,20.0,4.9513,12
2009-10-12,2009,10,La Boca,NO2,24.6667,8.0,38.0,25.5,8.9171,12
2009-10-12,2009,10,Palermo,CO,0.555,0.38,0.8,0.52,0.1604,12
2009-10-13,2009,10,Centenario,CO,0.4017,0.23,0.53,0.44,0.0982,24
2009-10-13,2009,10,Centenario,NO2,26.0417,10.0,47.0,25.0,10.1702,24
2009-10-13,2009,10,Córdoba,NO2,26.9583,9.0,55.0,27.0,13.4955,24
2009-10-13,2009,10,La Boca,NO2,25.0417,14.0,37.0,26.0,7.3749,24
2009-10-13,2009,10,Palermo,CO,0.6125,0.41,0.84,0.61,0.1458,24
2009-10-14,2009,10,Centenario,CO,0.5008,0.15,0.94,0.505,0.2348,24
2009-10-14,2009,10,Centenario,NO2,25.4762,7.0,46.0,26.0,11.656,21
2009-10-14,2009,10,Córdoba,NO2,30.2917,12.0,51.0,28.5,11.5476,24
2009-10-14,2009,10,La Boca,NO2,22.375,5.0,39.0,23.5,9.1737,24
2009-10-14,2009,10,Palermo,CO,0.7083,0.3,1.06,0.8,0.2593,24
2009-10-15,2009,10,Centenario,CO,0.4792,0.28,0.73,0.485,0.1399,24
2009-10-15,2009,10,Centenario,NO2,26.9048,10.0,51.0,26.0,12.1651,21
2009-10-15,2009,10,Córdoba,NO2,22.0833,11.0,40.0,20.0,7.2945,24
2009-10-15,2009,10,La Boca,NO2,24.375,8.0,47.0,21.0,11.1582,24
2009-10-15,2009,10,Palermo,CO,1.2267,0.61,2.06,1.035,0.5004,24
2009-10-16,2009,10,Centenario,CO,0.5058,0.38,0.7,0.475,0.1105,12
2009-10-16,2009,10,Centenario,NO2,22.3636,15.0,30.0,22.0,5.353,11
2009-10-16,2009,10,Córdoba,NO2,15.4167,10.0,21.0,15.5,4.1222,12
2009-10-16,2009,10,La Boca,NO2,22.2,16.0,28.0,23.0,4.0497,10
2009-10-16,2009,10,Palermo,CO,0.6733,0.29,1.1,0.655,0.2986,12
2009-10-18,2009,10,Centenario,CO,0.4033,0.34,0.48,0.405,0.0427,12
2009-10-18,2009,10,Centenario,NO2,20.5833,11.0,33.0,21.5,7.077,12
2009-10-18,2009,10,Córdoba,NO2,17.0,8.0,25.0,16.5,5.2397,12
2009-10-18,2009,10,La Boca,NO2,17.4167,11.0,25.0,18.0,5.1072,12
2009-10-18,2009,10,Palermo,CO,0.4917,0.35,0.58,0.5,0.0689,12
2009-10-19,2009,10,Centenario,CO,0.565,0.3,1.04,0.52,0.2076,24
2009-10-19,2009,10,Centenario,NO2,28.8333,6.0,59.0,29.5,15.415,24
2009-10-19,2009,10,Córdoba,NO2,27.7917,6.0,51.0,27.0,15.18,24
2009-10-19,2009,10,La Boca,NO2,28.9583,5.0,51.0,28.0,13.8892,24
2009-10-19,2009,10,Palermo,CO,0.5838,0.29,1.21,0.5,0.2901,24
2009-10-20,2009,10,Centenario,CO,1.0317,0.84,1.18,1.03,0.0994,24
2009-10-20,2009,10,Centenario,NO2,50.0,36.0,78.0,46.0,11.5909,24
2009-10-20,2009,10,Córdoba,NO2,47.6667,31.0,64.0,47.0,10.29,24
2009-10-20,2009,10,La Boca,NO2,46.3333,23.0,73.0,48.5,14.0795,24
2009-10-20,2009,10,Palermo,CO,1.0096,0.81,1.21,1.0,0.1153,24
2009-10-21,2009,10,Centenario,CO,0.5638,0.33,0.83,0.58,0.1249,24
2009-10-21,2009,10,Centenario,NO2,31.381,4.0,45.0,34.0,11.5563,21
2009-10-21,2009,10,Córdoba,NO2,33.9583,22.0,56.0,35.0,8.2012,24
2009-10-21,2009,10,La Boca,NO2,28.8333,16.0,37.0,30.0,5.8878,24
2009-10-21,2009,10,Palermo,CO,0.6375,0.29,1.0,0.64,0.2516,24
2009-10-22,2009,10,Centenario,CO,0.6125,0.38,0.93,0.585,0.1654,24
2009-10-22,2009,10,Centenario,NO2,31.0833,15.0,44.0,33.5,9.5322,24
2009-10-22,2009,10,Córdoba,NO2,33.0667,17.0,48.0,33.0,10.5253,15
2009-10-22,2009,10,La Boca,NO2,26.7083,14.0,39.0,27.0,6.2657,24
2009-10-22,2009,10,Palermo,CO,0.8546,0.64,1.26,0.855,0.1572,24
2009-10-23,2009,10,Centenario,CO,0.4267,0.24,0.74,0.38,0.1727,12
2009-10-23,2009,10,Centenario,NO2,20.1667,9.0,32.0,22.0,8.0885,12
2009-10-23,2009,10,Córdoba,NO2,18.0833,8.0,32.0,19.5,7.242,12
2009-10-23,2009,10,La Boca,NO2,22.1667,13.0,31.0,23.5,7.5177,12
2009-10-23,2009,10,Palermo,CO,0.6542,0.3,1.26,0.56,0.3696,12
2009-10-26,2009,10,Centenario,CO,0.4288,0.19,0.71,0.435,0.1366,24
2009-10-26,2009,10,Centenario,NO2,23.625,8.0,31.0,25.0,6.1631,24
2009-10-26,2009,10,Córdoba,NO2,31.9167,20.0,44.0,32.0,7.4828,24
2009-10-26,2009,10,La Boca,NO2,18.15,6.0,28.0,19.5,7.3289,20
2009-10-26,2009,10,Palermo,CO,0.4525,0.18,0.78,0.48,0.1873,24
2009-10-27,2009,10,Centenario,CO,0.3854,0.16,0.65,0.395,0.1533,24
2009-10-27,2009,10,Centenario,NO2,21.4583,5.0,39.0,19.5,8.6174,24
2009-10-27,2009,10,Córdoba,NO2,22.0833,12.0,35.0,20.5,7.5002,24
2009-10-27,2009,10,La Boca,NO2,18.2917,5.0,34.0,18.5,8.0568,24
2009-10-27,2009,10,Palermo,CO,0.5321,0.19,1.2,0.455,0.311,24
2009-10-28,2009,10,Centenario,CO,0.5546,0.23,1.01,0.605,0.2257,24
2009-10-28,2009,10,Centenario,NO2,30.8421,13.0,54.0,29.0,12.855,19
2009-10-28,2009,10,Córdoba,NO2,29.5,10.0,46.0,33.5,11.4216,22
2009-10-28,2009,10,La Boca,NO2,26.7917,15.0,37.0,25.5,6.2064,24
2009-10-28,2009,10,Palermo,CO,0.7879,0.33,1.54,0.715,0.376,24
2009-11-01,2009,11,Centenario,CO,0.5367,0.45,0.61,0.545,0.0576,12
2009-11-01,2009,11,Centenario,NO2,16.4167,14.0,20.0,16.0,2.4293,12
2009-11-01,2009,11,Córdoba,NO2,19.4167,16.0,23.0,19.0,2.1088,12
2009-11-01,2009,11,La Boca,NO2,18.25,12.0,24.0,18.0,3.5452,12
2009-11-01,2009,11,Palermo,CO,0.7842,0.65,0.88,0.795,0.0866,12
2009-11-02,2009,11,Centenario,CO,0.3675,0.27,0.55,0.355,0.084,12
2009-11-02,2009,11,Centenario,NO2,20.8,13.0,35.0,19.5,7.5982,10
2009-11-02,2009,11,Córdoba,NO2,15.8333,7.0,24.0,14.0,6.672,12
2009-11-02,2009,11,La Boca,NO2,20.4167,12.0,36.0,17.5,8.4149,12
2009-11-02,2009,11,Palermo,CO,0.6767,0.53,0.99,0.65,0.142,12
2009-11-04,2009,11,Centenario,CO,0.5404,0.34,0.78,0.54,0.1355,24
2009-11-04,2009,11,Centenario,NO2,21.2917,7.0,37.0,20.5,8.164,24
2009-11-04,2009,11,Córdoba,NO2,21.3333,9.0,33.0,23.0,7.1789,24
2009-11-04,2009,11,La Boca,NO2,18.6667,9.0,28.0,18.0,5.3541,24
2009-11-04,2009,11,Palermo,CO,0.9971,0.79,1.4,0.93,0.1903,24
2009-11-05,2009,11,Centenario,CO,0.8812,0.68,1.0,0.905,0.1071,24
2009-11-05,2009,11,Centenario,NO2,37.125,24.0,52.0,38.5,8.5786,24
2009-11-05,2009,11,Córdoba,NO2,28.5263,15.0,42.0,32.0,8.9341,19
2009-11-05,2009,11,La Boca,NO2,28.875,15.0,40.0,29.0,6.6484,24
2009-11-05,2009,11,Palermo,CO,1.2492,1.01,1.48,1.28,0.1739,24
2009-11-06,2009,11,Centenario,CO,0.8267,0.48,1.24,0.785,0.2562,24
2009-11-06,2009,11,Centenario,NO2,21.9583,10.0,37.0,21.0,6.7275,24
2009-11-06,2009,11,Córdoba,NO2,23.1739,14.0,30.0,23.0,4.6383,23
2009-11-06,2009,11,La Boca,NO2,23.0,13.0,36.0,23.0,6.44,20
2009-11-06,2009,11,Palermo,CO,1.4329,0.84,2.09,1.405,0.4254,24
2009-11-07,2009,11,Centenario,CO,0.5883,0.34,1.05,0.55,0.2141,24
2009-11-07,2009,11,Centenario,NO2,20.5417,12.0,40.0,17.0,9.012,24
2009-11-07,2009,11,Córdoba,NO2,31.625,22.0,111.0,28.5,17.2016,24
2009-11-07,2009,11,La Boca,NO2,13.8333,7.0,34.0,11.0,7.4639,24
2009-11-07,2009,11,Palermo,CO,0.6429,0.5,1.28,0.535,0.214,24
2009-11-08,2009,11,Centenario,CO,0.6633,0.5,1.06,0.565,0.2085,24
2009-11-08,2009,11,Centenario,NO2,20.25,12.0,31.0,19.5,4.9277,24
2009-11-08,2009,11,Córdoba,NO2,17.2917,14.0,21.0,17.0,1.9667,24
2009-11-08,2009,11,La Boca,NO2,20.4167,14.0,33.0,18.5,5.1661,24
2009-11-08,2009,11,Palermo,CO,0.7171,0.56,1.01,0.635,0.1713,24
2009-11-09,2009,11,Centenario,CO,0.8183,0.44,1.79,0.69,0.4069,24
2009-11-09,2009,11,Centenario,NO2,28.9167,8.0,50.0,28.5,11.9961,24
2009-11-09,2009,11,Córdoba,NO2,26.9167,10.0,37.0,32.0,10.1206,24
2009-11-09,2009,11,La Boca,NO2,26.1667,10.0,46.0,24.5,10.3532,24
2009-11-09,2009,11,Palermo,CO,0.6654,0.48,1.28,0.595,0.2105,24
2009-11-10,2009,11,Centenario,CO,0.9183,0.53,1.83,0.82,0.3765,24
2009-11-10,2009,11,Centenario,NO2,33.25,16.0,46.0,32.5,8.0843,20
2009-11-10,2009,11,Córdoba,NO2,27.85,18.0,33.0,28.0,3.7595,20
2009-11-10,2009,11,La Boca,NO2,32.1667,21.0,46.0,30.0,7.299,24
2009-11-10,2009,11,Palermo,CO,1.0129,0.88,1.38,0.93,0.165,24
2009-11-11,2009,11,Centenario,CO,0.7054,0.51,0.9,0.72,0.1042,24
2009-11-11,2009,11,Centenario,NO2,31.3333,19.0,45.0,31.0,8.427,24
2009-11-11,2009,11,Córdoba,NO2,25.5,17.0,29.0,27.0,3.757,14
2009-11-11,2009,11,La Boca,NO2,32.5417,24.0,45.0,32.5,5.548,24
2009-11-11,2009,11,Palermo,CO,0.7962,0.55,1.06,0.805,0.1602,24
2009-11-12,2009,11,Centenario,CO,0.5942,0.4,0.75,0.6,0.1025,24
2009-11-12,2009,11,Centenario,NO2,28.8333,13.0,44.0,29.0,8.0199,24
2009-11-12,2009,11,Córdoba,NO2,27.5417,14.0,55.0,26.5,11.2636,24
2009-11-12,2009,11,La Boca,NO2,27.6667,17.0,38.0,29.0,5.3134,24
2009-11-12,2009,11,Palermo,CO,0.7658,0.46,1.01,0.755,0.1758,24
2009-11-13,2009,11,Centenario,CO,0.6996,0.49,1.03,0.64,0.1832,23
2009-11-13,2009,11,Centenario,NO2,28.2917,9.0,42.0,32.0,9.3319,24
2009-11-13,2009,11,Córdoba,NO2,29.5417,9.0,78.0,30.0,13.9252,24
2009-11-13,2009,11,La Boca,NO2,29.0526,12.0,42.0,30.0,9.1133,19
2009-11-13,2009,11,Palermo,CO,0.8741,0.49,1.43,0.84,0.2938,17
2009-11-14,2009,11,Centenario,CO,0.5642,0.4,0.93,0.525,0.1494,24
2009-11-14,2009,11,Centenario,NO2,25.2917,13.0,49.0,24.0,9.8444,24
2009-11-14,2009,11,Córdoba,NO2,31.0833,15.0,113.0,24.5,25.0285,24
2009-11-14,2009,11,La Boca,NO2,21.2917,14.0,40.0,20.0,7.6754,24
2009-11-14,2009,11,Palermo,CO,0.8021,0.64,1.17,0.735,0.1794,24
2009-11-15,2009,11,Centenario,CO,0.5433,0.29,1.48,0.495,0.2793,24
2009-11-15,2009,11,Centenario,NO2,21.9167,8.0,42.0,18.5,10.5002,24
2009-11-15,2009,11,Córdoba,NO2,20.4583,13.0,27.0,22.0,4.0752,24
2009-11-15,2009,11,La Boca,NO2,21.375,10.0,45.0,17.0,11.1582,24
2009-11-15,2009,11,Palermo,CO,0.8604,0.68,1.59,0.74,0.2448,24
2009-11-16,2009,11,Centenario,CO,0.8108,0.45,1.74,0.565,0.4818,24
2009-11-16,2009,11,Centenario,NO2,21.875,13.0,38.0,18.0,6.8163,24
2009-11-16,2009,11,Córdoba,NO2,21.3684,11.0,26.0,23.0,4.3743,19
2009-11-16,2009,11,La Boca,NO2,23.6667,13.0,34.0,21.5,6.4043,24
2009-11-16,2009,11,Palermo,CO,1.1667,0.71,1.93,1.015,0.4415,24
2009-11-17,2009,11,Centenario,CO,0.6408,0.34,0.93,0.645,0.2074,24
2009-11-17,2009,11,Centenario,NO2,17.9167,7.0,30.0,18.5,7.0828,24
