year,month,station,pollutant,avg_value,median_value,max_value,min_value,std_value,records_count
2009,10,Centenario,CO,0.4972,0.49,1.0317,0.3017,0.155,22
2009,10,Centenario,NO2,27.8377,26.4732,50.0,18.125,6.8488,22
2009,10,Córdoba,NO2,27.8454,29.4792,47.6667,15.4167,8.1678,22
2009,10,La Boca,CO,0.216,0.1452,0.4527,0.1208,0.1583,4
2009,10,La Boca,NO2,24.7072,24.5208,46.3333,15.6667,6.9118,22
2009,10,Palermo,CO,0.7662,0.6908,1.3862,0.4525,0.2543,22
2009,11,Centenario,CO,0.7073,0.693,1.0,0.3675,0.1515,29
2009,11,Centenario,NO2,23.2065,21.875,37.125,14.0,6.1408,29
2009,11,Córdoba,NO2,24.0696,23.1739,32.4167,15.8333,4.676,29
2009,11,La Boca,NO2,22.3401,21.375,32.5417,13.8333,4.8274,29
2009,11,Palermo,CO,0.8545,0.8054,1.4329,0.5921,0.1899,29
2009,12,Centenario,CO,0.6692,0.6138,1.2017,0.4325,0.1815,29
2009,12,Centenario,NO2,20.702,19.9333,27.5714,13.3684,4.3426,30
2009,12,Córdoba,NO2,29.8707,27.6042,49.5833,17.9167,9.383,30
2009,12,La Boca,NO2,19.1228,18.875,37.2917,9.625,6.5465,30
2009,12,Palermo,CO,0.9133,0.9196,1.635,0.4262,0.2919,31
2010,1,Centenario,CO,0.3848,0.3931,0.4683,0.2845,0.0958,4
2010,1,Centenario,NO2,23.3148,17.6842,47.0,15.7083,11.5053,7
2010,1,Córdoba,CO,1.4066,1.4066,1.4775,1.3358,0.1002,2
2010,1,Córdoba,NO2,24.0278,22.0909,51.375,10.5833,8.4554,31
2010,1,La Boca,CO,0.9704,0.9704,1.0867,0.8542,0.1644,2
2010,1,La Boca,NO2,21.8323,21.0588,38.0833,12.6667,6.389,29
2010,1,Palermo,CO,0.7698,0.6971,1.5483,0.4121,0.2815,31
2010,2,Centenario,CO,1.0764,1.2154,1.3554,0.38,0.3492,11
2010,2,Centenario,NO2,23.9141,25.5208,29.125,13.9583,4.8222,12
2010,2,Córdoba,NO2,21.676,20.5417,36.3333,11.25,6.8388,23
2010,2,La Boca,CO,1.0576,1.0562,2.5217,0.1792,0.7654,10
2010,2,Palermo,CO,0.8588,0.8371,1.4808,0.365,0.2724,25
2010,3,Centenario,NO2,25.1589,23.462,36.625,18.2917,5.9284,10
2010,3,Córdoba,NO2,30.5707,28.8334,43.5417,19.5,6.3525,28
2010,3,La Boca,CO,0.2043,0.1747,0.4583,0.0795,0.0919,31
2010,3,La Boca,NO2,22.4959,21.5625,35.25,12.4167,5.0391,24
2010,3,Palermo,CO,1.0344,1.0446,1.5908,0.5617,0.2325,31
2010,4,Centenario,NO2,31.1024,28.5208,47.7917,20.1667,7.9293,26
2010,4,Córdoba,NO2,36.3455,36.7042,45.7083,26.125,5.1166,26
2010,4,La Boca,CO,0.3644,0.335,0.9208,0.0838,0.2388,29
2010,4,La Boca,NO2,27.9384,23.25,44.9167,12.75,9.2676,30
2010,4,Palermo,CO,1.3244,1.3792,2.2442,0.1658,0.4799,30
2010,5,Centenario,NO2,29.4182,25.2368,71.5,13.8,11.5137,28
2010,5,Córdoba,NO2,40.6454,37.75,56.1667,26.8333,8.8853,28
2010,5,La Boca,CO,0.4467,0.2667,2.6354,0.0725,0.5492,29
2010,5,La Boca,NO2,27.6194,25.5417,63.4167,11.5833,10.1372,29
2010,5,Palermo,CO,1.1324,1.0062,2.4042,0.5558,0.4052,29
2010,6,Centenario,NO2,27.7288,27.5,47.1667,17.0,6.2434,30
2010,6,Córdoba,CO,0.6912,0.62,1.6033,0.2133,0.3982,15
2010,6,Córdoba,NO2,34.1165,32.6042,48.3333,25.75,6.2926,30
2010,6,La Boca,CO,0.2591,0.1875,0.7108,0.0614,0.1778,29
