year,station,pollutant,avg_value,median_value,max_value,min_value,std_value,records_count
2009,Centenario,CO,0.635,0.6046,1.2017,0.3017,0.1836,80
2009,Centenario,NO2,23.5368,22.3333,50.0,13.3684,6.363,81
2009,Córdoba,CO,0.0,0.0,0.0,0.0,0.0,2
2009,Córdoba,NO2,27.2437,26.9167,49.5833,15.4167,7.9636,81
2009,La Boca,CO,0.144,0.1312,0.4527,0.0,0.1657,6
2009,La Boca,NO2,21.7914,21.3333,46.3333,9.625,6.4304,81
2009,Palermo,CO,0.852,0.8123,1.635,0.4262,0.2533,82
2010,Centenario,CO,3.86,1.1284,30.1,0.0,8.8398,18
2010,Centenario,NO2,27.0542,26.0208,71.5,0.0,8.6184,288
2010,Centenario,PM10,0.0,0.0,0.0,0.0,0.0,1
2010,Córdoba,CO,0.7113,0.6054,2.0888,0.0574,0.4368,197
2010,Córdoba,NO2,30.8581,31.1666,56.1667,0.0,10.0876,182
2010,Córdoba,PM10,0.0,0.0,0.0,0.0,0.0,1
2010,La Boca,CO,0.4194,0.2032,16.9075,0.0317,1.2253,306
2010,La Boca,NO2,25.2176,24.1818,63.4167,4.9167,8.2843,319
2010,La Boca,PM10,0.0,0.0,0.0,0.0,0.0,1
2010,Palermo,CO,1.0359,1.042,2.4042,0.0,0.4452,184
2011,Centenario,CO,0.6673,0.618,1.6121,0.0,0.2527,180
2011,Centenario,NO2,23.0504,22.75,53.75,0.0,7.3127,305
2011,Centenario,PM10,42.3042,32.5417,352.7917,12.1667,33.0961,275
2011,Córdoba,CO,0.5489,0.4126,2.1886,0.0,0.4072,352
2011,Córdoba,NO2,34.5425,34.4,121.3,0.0,13.6526,253
2011,Córdoba,PM10,39.4571,32.7083,173.4167,0.0,25.224,314
2011,La Boca,CO,0.2544,0.1566,2.1725,0.0304,0.2635,348
2011,La Boca,NO2,26.9598,25.375,64.3333,4.0833,10.4435,351
2011,La Boca,PM10,38.2515,31.0,324.4167,0.0,28.5417,323
2012,Centenario,CO,0.5904,0.5356,1.6656,0.2312,0.2298,334
2012,Centenario,NO2,17.8356,17.0,40.5,5.4615,5.8958,339
2012,Centenario,PM10,34.1887,31.9583,98.0,12.9583,12.6973,287
2012,Córdoba,CO,0.4688,0.4108,1.8062,0.06,0.2931,357
2012,Córdoba,NO2,36.4854,34.3958,88.5417,3.0,15.56,348
2012,Córdoba,PM10,27.1021,25.2917,80.5,11.1667,9.3861,255
2012,La Boca,CO,0.2149,0.1535,1.0954,0.05,0.1797,347
2012,La Boca,NO2,28.2468,26.5416,75.2083,8.1667,12.0433,230
2012,La Boca,PM10,28.1858,25.5417,106.5,8.7692,11.4317,357
2013,Centenario,CO,0.5975,0.5525,2.9192,0.1481,0.2692,316
2013,Centenario,NO2,22.1346,21.1042,77.8333,4.9583,8.5634,232
2013,Centenario,PM10,31.1889,28.3958,85.0,8.4167,12.2774,308
2013,Córdoba,CO,0.3639,0.3179,1.0158,0.1033,0.1993,134
2013,Córdoba,NO2,42.6862,37.1667,102.9167,12.2917,22.6653,117
2013,Córdoba,PM10,26.4054,24.6364,64.1667,11.6667,8.9911,169
2013,La Boca,CO,0.1332,0.1042,0.5173,0.05,0.0886,250
2013,La Boca,NO2,14.5952,13.6667,52.6667,3.2917,5.8357,279
2013,La Boca,PM10,26.154,24.7292,74.875,7.75,9.6804,280
2014,Centenario,CO,0.6673,0.5433,21.9925,0.1146,1.4426,355
2014,Centenario,NO2,17.2931,16.9167,35.0833,6.0833,5.1126,341
2014,Centenario,PM10,24.5139,23.9166,64.4583,0.8333,7.7792,342
2014,Córdoba,CO,0.7926,0.5742,22.6796,0.075,1.9555,309
2014,Córdoba,NO2,11.8985,11.5385,28.625,2.2917,5.866,105
2014,Córdoba,PM10,21.7067,20.3958,47.6667,7.9583,7.7103,190
2014,La Boca,CO,0.3956,0.2619,18.2042,0.05,1.5062,280
2014,La Boca,NO2,14.6509,13.375,36.4167,3.6667,5.5532,281
2014,La Boca,PM10,24.1809,23.875,62.2632,7.625,7.4014,283
2015,Centenario,CO,0.4932,0.446,1.6242,0.1407,0.2152,342
2015,Centenario,NO2,16.2343,15.6584,42.0,6.25,5.3195,348
2015,Centenario,PM10,26.1936,23.7292,124.0833,5.4,11.1706,354
2015,Córdoba,CO,0.4942,0.4692,1.7408,0.1496,0.2145,345
2015,Córdoba,NO2,21.6886,18.9375,57.6364,5.8,9.6968,310
2015,Córdoba,PM10,27.5995,25.7917,136.5833,12.0417,10.5935,325
2015,La Boca,CO,0.2911,0.2571,1.3454,0.079,0.1458,341
2015,La Boca,NO2,12.773,12.375,29.4583,3.25,5.0628,310
2015,La Boca,PM10,23.1697,20.7292,105.3333,7.5417,11.515,326
2016,Centenario,CO,0.5369,0.5117,1.2254,0.1758,0.2073,289
2016,Centenario,NO2,15.8024,15.4583,35.6667,3.1667,5.5402,337
2016,Centenario,PM10,26.3886,24.7083,82.5,11.9583,9.7175,325
2016,Córdoba,CO,0.697,0.6542,1.9004,0.2696,0.229,359
2016,Córdoba,NO2,20.8253,20.25,46.0417,8.0,5.8463,359
2016,Córdoba,PM10,26.139,24.4167,101.875,6.4167,10.6592,349
2016,La Boca,CO,0.3049,0.2867,0.8212,0.05,0.1141,343
2016,La Boca,NO2,10.673,10.2708,36.2,2.25,4.078,346
2016,La Boca,PM10,27.1761,24.75,119.1667,7.0,14.0266,358
2017,Centenario,CO,0.562,0.5158,1.318,0.1575,0.1974,326
2017,Centenario,NO2,17.5291,17.25,33.1667,2.8333,5.1454,323
2017,Centenario,PM10,23.2187,21.625,60.7917,7.8182,8.6778,304
2017,Córdoba,CO,0.7753,0.7362,2.7635,0.125,0.3114,349
2017,Córdoba,NO2,21.7899,21.875,42.7,7.3846,6.6193,353
2017,Córdoba,PM10,25.5495,23.8333,76.875,7.5417,9.3407,339
2017,La Boca,CO,0.567,0.5371,2.564,0.2108,0.2373,336
2017,La Boca,NO2,21.6822,20.8542,49.1667,2.0417,7.8523,328
2017,La Boca,PM10,32.3807,30.4167,94.75,11.3333,12.9341,349
